latitude,longitude,company,facility_name,city,state,address,products_or_focus,source_dataset,EV_facility
42.307175,-83.161995,Ford,Rouge Electric Vehicle Center,Dearborn,MI,"Rouge Electric Vehicle Center, Dearborn, MI",Light-Duty (Class 1-2),EV manufacturing,TRUE
36.3071316,-95.314464,Canoo,MegaMicro Factory,Pryor,OK,"MegaMicro Factory, Pryor, OK",Multiple Classes,EV manufacturing,TRUE
34.920567,-81.996745,Volvo Cars,South Carolina Car Factory,Ridgeville,SC,"South Carolina Car Factory, Ridgeville, SC",Light-Duty (Class 1-2),EV manufacturing,TRUE
38.615845,-122.871942,Cable Car Classics,HQ and Manufacturing Facility,Healdsburg,CA,"HQ and Manufacturing Facility, Healdsburg, CA",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
48.846667,-122.591196,Vicinity,Whatcom County Assembly Facility,Ferndale,WA,"Whatcom County Assembly Facility, Ferndale, WA",Multiple Classes,EV manufacturing,TRUE
33.865885,-117.817891,Phoenix Motorcars,Phoenix Motorcars,Ontario,CA,"Phoenix Motorcars, Ontario, CA",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
41.690307,-93.791062,SEA Electric,SEA Electric Engineering Center,Grimes,IA,"SEA Electric Engineering Center, Grimes, IA",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
41.459836,-88.172067,Lion Electric,Joliet Facility,Channahon,IL,"Joliet Facility, Channahon, IL",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
38.300335,-87.553379,Toyota,Toyota Motor Manufacturing Indiana,Princeton,IN,"Toyota Motor Manufacturing Indiana, Princeton, IN",Light-Duty (Class 1-2),EV manufacturing,TRUE
41.661126,-86.1793,Electric Last Mile Solutions,Electric Last Mile Solutions Mishawaka EV Plant,Mishawaka,IN,"Electric Last Mile Solutions Mishawaka EV Plant, Mishawaka, IN",Light-Duty (Class 1-2),EV manufacturing,TRUE
32.989394,-80.085703,Mercedes-Benz,North Charleston,Ladson,SC,"North Charleston, Ladson, SC",Medium-Duty (Class 3-6),EV manufacturing,TRUE
35.226761,-80.845876,Arrival,Charlotte Microfactory,Charlotte,NC,"Charlotte Microfactory, Charlotte, NC",Multiple Classes,EV manufacturing,TRUE
32.553575,-83.886613,Blue Bird,Electric Vehicle Build-up Center,Fort Valley,GA,"Electric Vehicle Build-up Center, Fort Valley, GA",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
36.155327,-95.992083,Navistar,Tulsa Bus Plant,Tulsa,OK,"Tulsa Bus Plant, Tulsa, OK",Medium-Duty (Class 3-6),EV manufacturing,TRUE
